funcid,dim,milestone,error
1,10,1,3.408174e+09
1,10,2,1.639826e+09
1,10,3,1.568002e+09
1,10,5,6.514860e+07
1,10,10,4.372598e+05
1,10,20,3.056910e+03
1,10,30,3.056910e+03
1,10,40,3.056910e+03
1,10,50,3.056910e+03
1,10,60,3.056910e+03
1,10,70,3.056910e+03
1,10,80,3.056910e+03
1,10,90,3.056910e+03
1,10,100,3.056910e+03
1,10,1,2.856973e+09
1,10,2,1.415720e+09
1,10,3,1.298215e+09
1,10,5,1.185371e+08
1,10,10,5.222714e+06
1,10,20,3.226330e+04
1,10,30,3.989337e+03
1,10,40,3.989337e+03
1,10,50,3.989337e+03
1,10,60,2.518884e+03
1,10,70,2.518884e+03
1,10,80,2.518884e+03
1,10,90,2.518884e+03
1,10,100,2.300174e+03
1,10,1,1.246974e+09
1,10,2,3.370492e+08
1,10,3,2.732773e+08
1,10,5,1.454746e+08
1,10,10,1.284576e+06
1,10,20,7.638085e+03
1,10,30,7.638085e+03
1,10,40,7.638085e+03
1,10,50,7.638085e+03
1,10,60,4.800534e+03
1,10,70,4.800534e+03
1,10,80,4.800534e+03
1,10,90,4.800534e+03
1,10,100,1.717611e+03
1,10,1,1.473375e+09
1,10,2,4.082951e+08
1,10,3,3.714507e+08
1,10,5,5.371651e+07
1,10,10,5.127600e+06
1,10,20,1.999908e+04
1,10,30,7.141378e+03
1,10,40,3.629259e+03
1,10,50,3.629259e+03
1,10,60,3.629259e+03
1,10,70,3.629259e+03
1,10,80,3.629259e+03
1,10,90,3.629259e+03
1,10,100,3.629259e+03
1,10,1,8.654215e+08
1,10,2,5.973747e+07
1,10,3,4.021456e+07
1,10,5,9.367815e+05
1,10,10,8.561534e+04
1,10,20,6.706327e+03
1,10,30,4.782630e+03
1,10,40,1.669653e+03
1,10,50,1.669653e+03
1,10,60,1.669653e+03
1,10,70,1.621331e+03
1,10,80,1.621331e+03
1,10,90,1.621331e+03
1,10,100,1.621331e+03
1,10,1,4.302345e+09
1,10,2,2.468877e+09
1,10,3,2.341161e+09
1,10,5,1.743207e+08
1,10,10,2.332259e+07
1,10,20,2.468013e+03
1,10,30,2.468013e+03
1,10,40,2.468013e+03
1,10,50,2.468013e+03
1,10,60,2.468013e+03
1,10,70,2.275971e+03
1,10,80,2.275971e+03
1,10,90,2.275971e+03
1,10,100,2.275971e+03
1,10,1,2.219810e+09
1,10,2,8.853231e+08
1,10,3,6.176265e+08
1,10,5,2.853669e+07
1,10,10,1.287275e+07
1,10,20,2.434459e+04
1,10,30,1.047901e+04
1,10,40,4.631737e+03
1,10,50,4.631737e+03
1,10,60,4.631737e+03
1,10,70,1.739949e+03
1,10,80,1.739949e+03
1,10,90,1.739949e+03
1,10,100,1.739949e+03
1,10,1,1.949324e+09
1,10,2,1.509364e+09
1,10,3,1.336069e+09
1,10,5,9.514520e+08
1,10,10,3.901142e+07
1,10,20,1.252473e+05
1,10,30,1.274480e+04
1,10,40,5.657546e+03
1,10,50,5.120326e+03
1,10,60,5.120326e+03
1,10,70,5.120326e+03
1,10,80,5.120326e+03
1,10,90,4.798350e+03
1,10,100,4.467164e+03
1,10,1,1.304601e+09
1,10,2,4.436368e+08
1,10,3,4.158835e+08
1,10,5,2.498555e+07
1,10,10,3.085582e+05
1,10,20,1.603930e+04
1,10,30,1.603930e+04
1,10,40,4.738572e+03
1,10,50,4.738572e+03
1,10,60,4.738572e+03
1,10,70,4.738572e+03
1,10,80,4.738572e+03
1,10,90,4.709507e+03
1,10,100,4.709507e+03
1,10,1,2.384011e+09
1,10,2,9.939922e+08
1,10,3,8.272308e+08
1,10,5,6.172096e+07
1,10,10,9.362761e+06
1,10,20,8.211729e+03
1,10,30,8.211729e+03
1,10,40,8.211729e+03
1,10,50,6.528535e+03
1,10,60,6.528535e+03
1,10,70,6.528535e+03
1,10,80,6.356225e+03
1,10,90,3.931088e+03
1,10,100,3.814175e+03
