funcid,dim,milestone,error
13,10,1,1.681881e+07
13,10,2,1.177821e+05
13,10,3,1.453180e+04
13,10,5,1.417814e+04
13,10,10,1.416262e+04
13,10,20,1.367757e+04
13,10,30,1.316337e+04
13,10,40,1.113857e+04
13,10,50,1.047204e+04
13,10,60,1.039123e+04
13,10,70,1.006528e+04
13,10,80,1.003549e+04
13,10,90,9.608143e+03
13,10,100,9.231579e+03
13,10,1,3.888274e+06
13,10,2,2.780768e+04
13,10,3,2.030889e+03
13,10,5,1.907703e+03
13,10,10,1.875851e+03
13,10,20,1.875222e+03
13,10,30,1.873947e+03
13,10,40,1.873693e+03
13,10,50,1.868634e+03
13,10,60,1.805210e+03
13,10,70,1.766122e+03
13,10,80,1.761329e+03
13,10,90,1.760609e+03
13,10,100,1.714550e+03
13,10,1,1.424012e+07
13,10,2,1.424048e+04
13,10,3,7.695851e+03
13,10,5,7.521288e+03
13,10,10,7.025498e+03
13,10,20,6.895892e+03
13,10,30,6.767019e+03
13,10,40,6.736461e+03
13,10,50,6.736461e+03
13,10,60,6.505181e+03
13,10,70,6.450171e+03
13,10,80,6.335875e+03
13,10,90,5.889807e+03
13,10,100,5.724544e+03
13,10,1,1.391619e+07
13,10,2,4.998513e+04
13,10,3,5.690796e+03
13,10,5,5.613352e+03
13,10,10,5.543806e+03
13,10,20,5.476557e+03
13,10,30,5.452912e+03
13,10,40,5.447702e+03
13,10,50,5.444733e+03
13,10,60,5.344705e+03
13,10,70,5.285071e+03
13,10,80,5.270386e+03
13,10,90,5.246691e+03
13,10,100,5.189353e+03
13,10,1,4.874554e+05
13,10,2,1.513554e+04
13,10,3,2.887395e+03
13,10,5,2.864986e+03
13,10,10,2.721134e+03
13,10,20,2.698153e+03
13,10,30,2.697130e+03
13,10,40,2.624453e+03
13,10,50,2.624374e+03
13,10,60,2.583439e+03
13,10,70,2.503613e+03
13,10,80,2.476377e+03
13,10,90,2.473626e+03
13,10,100,2.473626e+03
13,10,1,1.787943e+06
13,10,2,1.255024e+04
13,10,3,8.074546e+02
13,10,5,7.436602e+02
13,10,10,7.433915e+02
13,10,20,7.340969e+02
13,10,30,7.313912e+02
13,10,40,7.285084e+02
13,10,50,7.285084e+02
13,10,60,7.252707e+02
13,10,70,7.210987e+02
13,10,80,7.210987e+02
13,10,90,7.167113e+02
13,10,100,7.167113e+02
13,10,1,9.622072e+06
13,10,2,6.449750e+04
13,10,3,3.645602e+03
13,10,5,3.613040e+03
13,10,10,3.599586e+03
13,10,20,3.564333e+03
13,10,30,3.564333e+03
13,10,40,3.540336e+03
13,10,50,3.540336e+03
13,10,60,3.527656e+03
13,10,70,3.521645e+03
13,10,80,3.517894e+03
13,10,90,3.503332e+03
13,10,100,3.502075e+03
13,10,1,1.725866e+07
13,10,2,7.597009e+04
13,10,3,1.405388e+04
13,10,5,1.393174e+04
13,10,10,1.377472e+04
13,10,20,1.311456e+04
13,10,30,1.273924e+04
13,10,40,1.252938e+04
13,10,50,1.218498e+04
13,10,60,1.210392e+04
13,10,70,1.198570e+04
13,10,80,1.186676e+04
13,10,90,1.113765e+04
13,10,100,1.068875e+04
13,10,1,2.092054e+07
13,10,2,4.721564e+03
13,10,3,5.320503e+02
13,10,5,4.751047e+02
13,10,10,4.750030e+02
13,10,20,4.750030e+02
13,10,30,4.750030e+02
13,10,40,4.750030e+02
13,10,50,4.731827e+02
13,10,60,4.731827e+02
13,10,70,4.725426e+02
13,10,80,4.724605e+02
13,10,90,4.724605e+02
13,10,100,4.724605e+02
13,10,1,1.841089e+07
13,10,2,3.562938e+03
13,10,3,2.138229e+03
13,10,5,1.918546e+03
13,10,10,1.912622e+03
13,10,20,1.790116e+03
13,10,30,1.772797e+03
13,10,40,1.768940e+03
13,10,50,1.755018e+03
13,10,60,1.736678e+03
13,10,70,1.736678e+03
13,10,80,1.707489e+03
13,10,90,1.666425e+03
13,10,100,1.651456e+03
