funcid,dim,milestone,error
3,10,1,1.160344e+04
3,10,2,6.718334e+03
3,10,3,6.612818e+03
3,10,5,6.575278e+03
3,10,10,4.755149e+03
3,10,20,2.774518e+03
3,10,30,1.553557e+03
3,10,40,5.964212e+02
3,10,50,3.094769e+02
3,10,60,8.501569e+01
3,10,70,1.744343e+01
3,10,80,1.741865e+00
3,10,90,9.732202e-02
3,10,100,2.772188e-02
3,10,1,2.225715e+04
3,10,2,1.664426e+04
3,10,3,1.649657e+04
3,10,5,1.642833e+04
3,10,10,1.095933e+04
3,10,20,5.429086e+03
3,10,30,3.105267e+03
3,10,40,1.898785e+03
3,10,50,1.040696e+03
3,10,60,3.898892e+02
3,10,70,1.501619e+02
3,10,80,4.459222e+01
3,10,90,5.719279e+00
3,10,100,4.791606e-01
3,10,1,1.592051e+04
3,10,2,1.060057e+04
3,10,3,1.034968e+04
3,10,5,1.022704e+04
3,10,10,7.259207e+03
3,10,20,3.742140e+03
3,10,30,2.244795e+03
3,10,40,1.322859e+03
3,10,50,8.016472e+02
3,10,60,4.172583e+02
3,10,70,1.685084e+02
3,10,80,5.969022e+01
3,10,90,8.689488e+00
3,10,100,6.697135e-01
3,10,1,3.221783e+04
3,10,2,2.994412e+04
3,10,3,2.877903e+04
3,10,5,2.871770e+04
3,10,10,1.593458e+04
3,10,20,1.000272e+04
3,10,30,5.096340e+03
3,10,40,3.939405e+03
3,10,50,2.206436e+03
3,10,60,1.204507e+03
3,10,70,6.576804e+02
3,10,80,2.855331e+02
3,10,90,1.359896e+02
3,10,100,4.758566e+01
3,10,1,7.693993e+03
3,10,2,5.164514e+03
3,10,3,5.015168e+03
3,10,5,4.981157e+03
3,10,10,3.713749e+03
3,10,20,1.057606e+03
3,10,30,4.322072e+02
3,10,40,1.623718e+02
3,10,50,5.972283e+01
3,10,60,1.179189e+01
3,10,70,8.125123e-01
3,10,80,6.976300e-02
3,10,90,1.621264e-02
3,10,100,6.412862e-03
3,10,1,2.640829e+04
3,10,2,2.061924e+04
3,10,3,2.061924e+04
3,10,5,2.058026e+04
3,10,10,1.235109e+04
3,10,20,7.677180e+03
3,10,30,4.530096e+03
3,10,40,2.725902e+03
3,10,50,1.751866e+03
3,10,60,9.890463e+02
3,10,70,5.967312e+02
3,10,80,2.650461e+02
3,10,90,8.752897e+01
3,10,100,2.772917e+01
3,10,1,1.500910e+04
3,10,2,1.169674e+04
3,10,3,1.157422e+04
3,10,5,1.152196e+04
3,10,10,8.133121e+03
3,10,20,2.611827e+03
3,10,30,1.480947e+03
3,10,40,6.879044e+02
3,10,50,3.731434e+02
3,10,60,1.822922e+02
3,10,70,3.763628e+01
3,10,80,4.301831e+00
3,10,90,1.385120e-01
3,10,100,1.138014e-02
3,10,1,8.066869e+03
3,10,2,4.690377e+03
3,10,3,4.566926e+03
3,10,5,4.536925e+03
3,10,10,2.790226e+03
3,10,20,1.700955e+03
3,10,30,5.600864e+02
3,10,40,1.240501e+02
3,10,50,4.360866e+01
3,10,60,3.627859e+00
3,10,70,1.550194e-01
3,10,80,2.584419e-02
3,10,90,4.776206e-03
3,10,100,4.776206e-03
3,10,1,2.132018e+04
3,10,2,1.815908e+04
3,10,3,1.815908e+04
3,10,5,1.810588e+04
3,10,10,8.404276e+03
3,10,20,4.515851e+03
3,10,30,2.389225e+03
3,10,40,1.427449e+03
3,10,50,9.340598e+02
3,10,60,2.750190e+02
3,10,70,1.172302e+02
3,10,80,3.020537e+01
3,10,90,1.520860e+00
3,10,100,1.213050e-01
3,10,1,1.807692e+04
3,10,2,1.589612e+04
3,10,3,1.562084e+04
3,10,5,1.553585e+04
3,10,10,9.550457e+03
3,10,20,4.659637e+03
3,10,30,2.945694e+03
3,10,40,1.770265e+03
3,10,50,1.022568e+03
3,10,60,4.961295e+02
3,10,70,2.642083e+02
3,10,80,8.600032e+01
3,10,90,2.498064e+01
3,10,100,3.061618e+00
