funcid,dim,milestone,error
18,30,1,2.156385e+07
18,30,2,2.115048e+07
18,30,3,9.480041e+06
18,30,5,7.140051e+06
18,30,10,4.228464e+06
18,30,20,9.702573e+05
18,30,30,4.880873e+05
18,30,40,4.014062e+05
18,30,50,3.417184e+05
18,30,60,2.967077e+05
18,30,70,2.601661e+05
18,30,80,2.117778e+05
18,30,90,1.901502e+05
18,30,100,1.791653e+05
18,30,1,5.141927e+07
18,30,2,4.397741e+07
18,30,3,2.622042e+07
18,30,5,1.600706e+07
18,30,10,4.425721e+06
18,30,20,1.066334e+06
18,30,30,2.421979e+05
18,30,40,1.184093e+05
18,30,50,1.044234e+05
18,30,60,9.928290e+04
18,30,70,9.701920e+04
18,30,80,9.639517e+04
18,30,90,9.316606e+04
18,30,100,9.166424e+04
18,30,1,1.955190e+06
18,30,2,1.819410e+06
18,30,3,1.796162e+06
18,30,5,1.688228e+06
18,30,10,1.478289e+06
18,30,20,1.025142e+06
18,30,30,8.406367e+05
18,30,40,6.299400e+05
18,30,50,5.119868e+05
18,30,60,3.964679e+05
18,30,70,3.222165e+05
18,30,80,2.593738e+05
18,30,90,1.988406e+05
18,30,100,1.522947e+05
18,30,1,1.115242e+06
18,30,2,1.055890e+06
18,30,3,1.022768e+06
18,30,5,9.820531e+05
18,30,10,8.561029e+05
18,30,20,6.826056e+05
18,30,30,5.751772e+05
18,30,40,4.845809e+05
18,30,50,4.213441e+05
18,30,60,3.664972e+05
18,30,70,3.288529e+05
18,30,80,2.863031e+05
18,30,90,2.625813e+05
18,30,100,2.462627e+05
18,30,1,2.780805e+06
18,30,2,2.694391e+06
18,30,3,2.422229e+06
18,30,5,2.196389e+06
18,30,10,1.753853e+06
18,30,20,1.279606e+06
18,30,30,1.022437e+06
18,30,40,8.297916e+05
18,30,50,6.713008e+05
18,30,60,5.124565e+05
18,30,70,4.103360e+05
18,30,80,3.213057e+05
18,30,90,2.518982e+05
18,30,100,2.021761e+05
18,30,1,1.897150e+06
18,30,2,1.846290e+06
18,30,3,1.613798e+06
18,30,5,1.348453e+06
18,30,10,9.669238e+05
18,30,20,7.286576e+05
18,30,30,4.351435e+05
18,30,40,3.339959e+05
18,30,50,2.586708e+05
18,30,60,1.836338e+05
18,30,70,1.389804e+05
18,30,80,9.883876e+04
18,30,90,7.398575e+04
18,30,100,5.818099e+04
18,30,1,5.644319e+06
18,30,2,5.162466e+06
18,30,3,2.675314e+06
18,30,5,2.042492e+06
18,30,10,8.926390e+05
18,30,20,3.187255e+05
18,30,30,1.942818e+05
18,30,40,1.518501e+05
18,30,50,1.283542e+05
18,30,60,1.147830e+05
18,30,70,1.016343e+05
18,30,80,9.072400e+04
18,30,90,8.553301e+04
18,30,100,7.968573e+04
18,30,1,6.489566e+05
18,30,2,6.088354e+05
18,30,3,4.425500e+05
18,30,5,3.422376e+05
18,30,10,1.788186e+05
18,30,20,1.315235e+05
18,30,30,1.209302e+05
18,30,40,1.135281e+05
18,30,50,1.061889e+05
18,30,60,1.021654e+05
18,30,70,9.909095e+04
18,30,80,9.589780e+04
18,30,90,9.428409e+04
18,30,100,9.089862e+04
18,30,1,5.695503e+07
18,30,2,5.547407e+07
18,30,3,1.237870e+07
18,30,5,7.373689e+06
18,30,10,3.928854e+06
18,30,20,1.535472e+06
18,30,30,9.113224e+05
18,30,40,6.740023e+05
18,30,50,5.330369e+05
18,30,60,4.428471e+05
18,30,70,3.565110e+05
18,30,80,2.750242e+05
18,30,90,2.345283e+05
18,30,100,1.956812e+05
18,30,1,2.089346e+07
18,30,2,1.837433e+07
18,30,3,1.556745e+07
18,30,5,1.314072e+07
18,30,10,6.648083e+06
18,30,20,4.502243e+05
18,30,30,1.913072e+05
18,30,40,1.729141e+05
18,30,50,1.624252e+05
18,30,60,1.596538e+05
18,30,70,1.572487e+05
18,30,80,1.542980e+05
18,30,90,1.517688e+05
18,30,100,1.498888e+05
